item,rank_2023,deg_2023,rank_2024,deg_2024,rank_2025,deg_2025,rank_2026,deg_2026
cooked daal at average hotel,1,0.6071,3,0.3036,21,0.0179,41,0.0
tea prepared ordinary,2,0.5179,31,0.1429,30,0.0179,56,0.0
rice basmati broken (average qualit,3,0.5179,26,0.1607,43,0.0,50,0.0
milk fresh (un-boiled),4,0.5,15,0.1964,16,0.0179,48,0.0
shirting (average quality),5,0.5,17,0.1964,52,0.0,17,0.2679
beef with bone (average quality),6,0.4821,2,0.3214,22,0.0179,19,0.2679
gur (average quality),7,0.4643,5,0.2857,9,0.0357,28,0.1964
sufi washing soap 250 gm cake,8,0.4643,47,0.0536,51,0.0,53,0.0
pulse mash (washed),9,0.4643,41,0.0893,5,0.0714,4,0.375
toilet soap lifebuoy 115 gm,10,0.4107,42,0.0714,27,0.0179,55,0.0
mutton (average quality),16,0.375,1,0.3393,10,0.0357,8,0.3393
petrol super,17,0.3571,33,0.125,4,0.0714,11,0.3036
"long cloth 57"" gul ahmed/al karam",18,0.3571,8,0.2321,15,0.0179,29,0.1786
hi-speed diesel,23,0.3393,32,0.125,7,0.0536,12,0.3036
ladies sandal bata,30,0.2857,9,0.2143,42,0.0,42,0.0
garlic (lehsun),32,0.2679,29,0.1429,12,0.0357,1,0.4464
pulse moong (washed),33,0.2321,6,0.25,6,0.0536,6,0.3393
potatoes,35,0.1964,10,0.2143,1,0.0893,22,0.25
lpg 11.67 kg cylinder,36,0.1429,16,0.1964,45,0.0,10,0.3214
pulse gram,37,0.125,14,0.1964,3,0.0714,7,0.3393
chicken farm broiler (live),38,0.1071,38,0.1071,23,0.0179,5,0.3393
electricity charges upto 50 units,39,0.1071,49,0.0179,8,0.0357,3,0.375
firewood whole,40,0.0893,4,0.3036,17,0.0179,25,0.2143
bananas (kela) local,41,0.0893,7,0.25,25,0.0179,2,0.3929
mustard oil (average quality),43,0.0714,28,0.1429,2,0.0714,13,0.2857
onions,46,0.0357,37,0.1071,11,0.0357,9,0.3214
